id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
50,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,>= S1,31,ORANG,2019
51,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,< S1,1,ORANG,2019
52,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,>= S1,80,ORANG,2019
53,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,< S1,1,ORANG,2019
54,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,>= S1,23,ORANG,2019
55,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,< S1,1,ORANG,2019
56,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,>= S1,51,ORANG,2019
57,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,< S1,0,ORANG,2019
58,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,>= S1,12,ORANG,2019
59,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,< S1,0,ORANG,2019
60,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,>= S1,25,ORANG,2019
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,< S1,2,ORANG,2019
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,>= S1,14,ORANG,2019
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,< S1,12,ORANG,2019
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,>= S1,55,ORANG,2019
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,< S1,1,ORANG,2019
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,>= S1,43,ORANG,2019
67,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,< S1,5,ORANG,2019
68,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,>= S1,132,ORANG,2019
69,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,< S1,1,ORANG,2019
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,>= S1,26,ORANG,2019
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,< S1,1,ORANG,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,>= S1,47,ORANG,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,< S1,1,ORANG,2019
74,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,>= S1,20,ORANG,2019
75,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,< S1,3,ORANG,2019
76,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,>= S1,70,ORANG,2019
77,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,< S1,0,ORANG,2019
78,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,>= S1,7,ORANG,2019
79,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,< S1,0,ORANG,2019
80,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,>= S1,27,ORANG,2019
81,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,< S1,7,ORANG,2019
82,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,>= S1,110,ORANG,2019
83,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,< S1,16,ORANG,2019
84,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,>= S1,352,ORANG,2019
85,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,< S1,1,ORANG,2019
86,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,>= S1,17,ORANG,2019
87,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,< S1,0,ORANG,2019
88,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,>= S1,51,ORANG,2019
89,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,< S1,2,ORANG,2019
90,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,>= S1,24,ORANG,2019
91,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,< S1,11,ORANG,2019
92,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,>= S1,105,ORANG,2019
93,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,< S1,0,ORANG,2019
94,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,>= S1,12,ORANG,2019
95,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,< S1,5,ORANG,2019
96,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,>= S1,57,ORANG,2019
97,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,< S1,1,ORANG,2019
98,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,>= S1,38,ORANG,2019
99,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,< S1,1,ORANG,2019
100,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,>= S1,109,ORANG,2019
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,< S1,2,ORANG,2019
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,>= S1,38,ORANG,2019
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,< S1,0,ORANG,2019
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,>= S1,80,ORANG,2019
105,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,< S1,0,ORANG,2019
106,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,>= S1,12,ORANG,2019
107,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,< S1,0,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,>= S1,42,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,< S1,2,ORANG,2020
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,>= S1,13,ORANG,2020
111,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,< S1,2,ORANG,2020
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,>= S1,54,ORANG,2020
113,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,< S1,0,ORANG,2020
114,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,>= S1,46,ORANG,2020
115,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,< S1,2,ORANG,2020
116,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,>= S1,80,ORANG,2020
117,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,< S1,2,ORANG,2020
118,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,>= S1,26,ORANG,2020
119,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,< S1,1,ORANG,2020
120,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,>= S1,54,ORANG,2020
121,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,< S1,6,ORANG,2020
122,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,>= S1,172,ORANG,2020
123,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,< S1,3,ORANG,2020
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,>= S1,388,ORANG,2020
125,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,< S1,1,ORANG,2020
126,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,>= S1,134,ORANG,2020
127,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,< S1,6,ORANG,2020
128,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,>= S1,261,ORANG,2020
129,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,< S1,2,ORANG,2020
130,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,>= S1,55,ORANG,2020
131,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,< S1,3,ORANG,2020
132,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,>= S1,121,ORANG,2020
133,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,< S1,2,ORANG,2020
134,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,>= S1,117,ORANG,2020
135,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,< S1,3,ORANG,2020
136,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,>= S1,210,ORANG,2020
137,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,< S1,1,ORANG,2020
138,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,>= S1,67,ORANG,2020
139,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,< S1,1,ORANG,2020
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,>= S1,101,ORANG,2020
